label,label_num,message
spam,1,Money! You are a lucky winner. To claim your prize text MONEY now.
ham,0,I'm really sorry i won't be able to do this friday. Hope you can find an alternative.
ham,0,Congratulations and I wish you many happy moments wherever you go
ham,0,So do you have samus shoulders yet
ham,0,What time you think you'll have it? Need to know when I should be near campus
spam,1,"Dear customer please call from a landline, your complimentary holiday or cash await collection."
ham,0,Then dun wear jeans lor...
ham,0,"Since when, which side, any fever, any vomiting."
ham,0,K are you in college?
spam,1,Urgent! Call from landline. Your complimentary holiday or cash await collection.
ham,0,Better. Made up for Friday and stuffed myself like a pig yesterday.
ham,0,No we sell it all so we'll have tons of coins.
ham,0,They are doing it to lots of places. Only hospitals and medical places are safe.
spam,1,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE.
ham,0,I sent my scores and had to do secondary application for a few schools.
ham,0,"Contact joke ogunrinde, her school is one of the less expensive ones"
ham,0,I cant wait to see you! How were the photos useful?
spam,1,Your cash balance is currently 500 pounds. To maximize your cash send GO now.
ham,0,Hey i booked the kb on sat already.
ham,0,What other lessons are we going for ah?
ham,0,Keep your sat night free we need to meet and confirm our lodging
ham,0,Is that what time you want me to come?
ham,0,"Awesome, lemme know whenever you're around"
ham,0,Shb b ok lor... Thanx...
ham,0,Also remember to get dobby's bowl from your car
spam,1,Filthy stories and girls waiting for you.
ham,0,Sorry i now then see your message. Tomorrow you will have a brand new room to sleep in.
ham,0,"Love isn't a decision, it's a feeling."
ham,0,Welp apparently he retired
ham,0,Can you reply to confirm I've sent this to the right person?
ham,0,Where are you?
ham,0,U sure u can't take any sick time?
spam,1,URGENT! We are trying to contact you. Today's draw shows that you have won a guaranteed prize.
ham,0,"Watching cartoon, listening music and at evening had to go temple and church."
ham,0,Are you this much busy
ham,0,I am not sure about night menu. I know only about noon menu
ham,0,What do you want when i come back?
ham,0,Are you willing to go for aptitude class.
ham,0,"It wont be until 2.15 as trying to sort house out, is that ok?"
ham,0,Yar lor he wan to go see horse racing today.
ham,0,"Haha awesome, on my way back now then"
ham,0,Yup i think so until the shop closes lor.
ham,0,What is your account number?
ham,0,Eh u send wrongly lar...
ham,0,Ok i shall talk to him
ham,0,Dont hesitate.
spam,1,Congrats! Two mobile videophones are yours. Call now to claim.
ham,0,Look at the time. What do you think is up
ham,0,Yo guess what I just dropped
ham,0,Carlos says he'll be at mu in few minutes
ham,0,I'm in office now. I will call you in a few minutes.
ham,0,"I miss you already, you know? You're all I can think about."
ham,0,I will once i get home
ham,0,"The table's occupied, I'm waiting by the tree"
ham,0,I surely dont forgot to come. I will always be in touch with you.
ham,0,Hi kindly give us back our documents which we submitted for loan.
ham,0,I dont have i shall buy one dear
ham,0,Oh god i am happy to see your message after 3 days
ham,0,What year and how many miles?
ham,0,Hey cutie. How goes it?
spam,1,FREE for first week! Nokia tone for your mobile every week. Text NOKIA to get texting.
ham,0,No. Its not specialisation. Can work but its slave labor.
ham,0,Is she replying. Has boye changed his phone number
ham,0,Go to write message. Put on dictionary mode. Cover the screen with hand.
ham,0,Hi my darlin im on my way to London and we have just been smashed into by another driver.
ham,0,"Nothing really, just making sure everybody's up to speed"
ham,0,I'm not coming home for dinner.
ham,0,"Thank you. And by the way, I just lost."
ham,0,Yes he has good cricketing mind
spam,1,Shop till you drop. Is it you? Cash or travel voucher. Call now.
ham,0,Can I please come up now? I'm in town and really need to do something.
ham,0,I wont. So what's with the guys
ham,0,You haven't tried yet and never played original either
ham,0,"Hiya, had a good day? Have you spoken since the weekend?"
ham,0,See? I thought it all through
ham,0,I'm at work. Please call
ham,0,"Oh ok, why you got job then whats up?"
ham,0,I don't think so. You don't need to be going out that late on a school night.
ham,0,Ok.
ham,0,PS you know you're a grown up now right?
ham,0,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon."
ham,0,Purity of friendship is not about smiling after reading the forwarded message.
spam,1,FREE camera phones with line rental. Half price text bundle deals also available.
ham,0,Yup I should have around 10 pages if I add figures.
ham,0,Thank you so much for the call. I appreciate your care.
ham,0,Congrats! Treat pending. I am not on mail for 2 days.
ham,0,I called but no one picked up the phone.
ham,0,Hi my email address has changed now.
ham,0,Happy Valentines Day in advance.
ham,0,"Not much, just some texting. How about you?"
ham,0,Bring it if you got it
ham,0,I'm in a movie. Call me for what?
ham,0,Not sure I have the stomach for it.
ham,0,Haha can. But i'm having dinner with my cousin.
ham,0,A boy was late to home. His father asked why.
ham,0,Raji please do me a favour. Please convey my birthday wishes.
spam,1,URGENT! Your mobile number won a bonus caller prize. This is the second attempt to reach you.
ham,0,Usually the body takes care of it by making sure it doesn't progress.
spam,1,URGENT! Your holiday or cash await collection. Call now to claim.
ham,0,"Hmm well, night night"
ham,0,Just wanted to say you guys were not kidding.
ham,0,"This is one of the days you have a billion classes, right?"
ham,0,"Good morning, today I am late for two hours because of back pain."
ham,0,Ok then I'll let him know later and ask him to call you tomorrow.
ham,0,I'm sorry from heart.
ham,0,Ok I'm walking around now. Do you want me to buy anything?
ham,0,Will have two more cartons off you and is very pleased with shelves
ham,0,Nice talking to you! Please dont forget my picture.
spam,1,You have WON a guaranteed cash prize. To claim your prize call customer service.
ham,0,But really quite funny lor what.
ham,0,Great. I was getting worried about you.
spam,1,Thanks for your ringtone order. Your mobile will be charged. Call customer services if not arrived.
